Code,TotalObservations
E06000002,143933
E06000007,210977
E06000008,154762
E06000010,267008
E06000015,261360
E06000016,368616
E06000018,323629
E06000020,185532
E06000021,258375
E06000023,472464
E06000024,216736
E06000025,290416
E06000030,233439
E06000031,215678
E06000032,225251
E06000033,180676
E06000034,176006
E06000035,279759
E06000036,124614
E06000037,161456
E06000038,174239
E06000039,158518
E06000040,153490
E06000041,177464
E06000042,287061
E06000043,277106
E06000044,207994
E06000045,248929
E06000047,522040
E06000049,398778
E06000050,357143
E06000051,323606
E06000054,510348
E06000055,185214
E06000056,294253
E06000058,400200
E06000059,379587
E06000060,553036
E06000061,359530
E06000062,425748
E07000008,145657
E07000011,180854
E07000012,162111
E07000061,101678
E07000066,187577
E07000067,155260
E07000070,181511
E07000071,192724
E07000072,135004
E07000073,93337
E07000081,132414
E07000084,185138
E07000092,99761
E07000095,98979
E07000096,155090
E07000098,107814
E07000099,133213
E07000103,102259
E07000105,132748
E07000106,157440
E07000107,116711
E07000109,106911
E07000110,175772
E07000111,120525
E07000123,147837
E07000129,102924
E07000130,183941
E07000138,103828
E07000148,143912
E07000172,110910
E07000173,117274
E07000177,160989
E07000178,162042
E07000179,149085
E07000180,138920
E07000202,139633
E07000211,150886
E07000213,102970
E07000222,148411
E07000226,118473
E07000227,146762
E07000229,111337
E07000237,103863
E07000240,148146
E07000241,119837
E07000242,150157
E07000243,89513
E07000244,246071
E07000245,179942
E08000001,295944
E08000002,193834
E08000003,551971
E08000004,242069
E08000005,223771
E08000006,269903
E08000007,294783
E08000008,231070
E08000009,235061
E08000010,329337
E08000012,486083
E08000014,279218
E08000017,308126
E08000018,265808
E08000019,556520
E08000021,300134
E08000024,274172
E08000025,1144925
E08000026,345308
E08000027,323478
E08000028,341801
E08000029,216245
E08000030,284114
E08000031,263752
E08000032,546410
E08000033,206620
E08000034,433238
E08000035,811963
E08000036,353359
E09000002,218865
E09000003,389349
E09000004,246489
E09000005,339803
E09000006,329970
E09000007,210155
E09000008,390715
E09000009,367100
E09000010,329959
E09000011,289063
E09000012,259155
E09000013,183185
E09000014,264226
E09000015,261187
E09000016,262068
E09000017,305900
E09000018,288172
E09000019,216628
E09000020,143385
E09000021,168057
E09000022,317635
E09000023,300558
E09000024,215161
E09000025,351018
E09000026,310265
E09000027,195256
E09000028,307659
E09000029,209650
E09000030,310335
E09000031,278420
E09000032,327511
E09000033,204207
W06000011,238483
W06000015,362311
W06000022,159619
